Price,Status,Area,Rate Per Sqft,Property Type,Locality,Builder Name,Rera Approval,Bhk_Count,Society,Company Name,Flat Type
2620000,Under Construction,739,3545,3 BHK Apartment in GLS South Avenue,Sector 92,sandeep,Approved,3,GLS South Avenue,GLS,Apartment
2626000,Under Construction,745,3524,3 BHK Apartment in Pyramid Urban Homes 2,Sector 86,NK Dhiman,Approved,3,Pyramid Urban Homes 2,Pyramid,Apartment
12700000,Ready to move,2250,5644,3 BHK Independent Floor in Omaxe Mayfield Garden,Sector 51,Ashwani Mishra,Not Approved,3,Omaxe Mayfield Garden,Omaxe,Floor
2600000,Under Construction,900,2888,3 BHK Apartment,IMT Manesar,pravesh kumar,Not Approved,3,Outside Socity,Outside,Plot
13000000,Ready to move,1800,7222,3 BHK Independent Floor,Sector 21,pravesh kumar,Not Approved,3,Outside Socity,Outside,Plot
12000000,Ready to move,2600,4615,4 BHK Apartment,Sector 9,Ankit Malhotra,Not Approved,4,Outside Socity,Outside,Plot
7000000,Ready to move,1410,4964,2 BHK Apartment in Ramprastha The Edge Towers,Sector 37D,seller,Not Approved,2,Ramprastha The Edge Towers,Ramprastha,Apartment
12500000,Ready to move,1600,7812,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,home,Not Approved,3,Emaar Emerald Floors Premier,Emaar,Floor
20600000,Under Construction,2750,7500,3 BHK Apartment,Sector 99,Property In Gurgaon,Not Approved,3,Outside Socity,Outside,Plot
1700000,Ready to move,450,3777,1 BHK Apartment,Sector 3A,properties for sale in Gurgaon,Not Approved,1,Outside Socity,Outside,Plot
